0
0,5695881
0,8454954
1,263709
1,715581
2,161245
2,578764
3,048865
3,52984
3,946735
4,443709
4,872227
5,346303
5,785483
6,231875
6,675754
7,107509
7,567582
7,991582
8,408995
8,848205
9,313473
9,745159
10,1931
10,67153
11,10445
11,59567
12,03252
12,49601
12,94577
13,40841
13,85173
14,28111
14,71205
15,15259
15,58671
16,02448
16,5066
16,94395
17,39432
17,83991
18,3147
18,75425
19,21151
19,67254
20,09591
20,53618
20,95218
21,43473
21,87317
22,32235
22,77681
23,24766
23,68017
24,08871
24,53736
25,0268
25,47969
25,8988
26,35189
26,78675
27,24061
27,69631
28,15199
28,59927
29,03348
