0
2,872139
3,867768
4,925126
6,019966
7,133945
8,203299
9,276404
10,37989
11,4282
12,27593
13,14062
13,66697
14,25967
14,88397
15,43489
15,97888
16,51336
17,12394
17,60558
18,1712
18,65857
19,21898
19,76432
20,29558
20,86914
21,38626
21,94798
22,47667
22,98262
23,56352
24,16772
24,6603
25,15522
25,73236
26,30665
26,8432
27,40239
27,94643
28,38939
28,77052
29,01109
29,4288
29,78929
30,09183
30,67528
31,25241
31,72354
32,29837
32,87852
33,43636
33,97293
34,45906
35,03747
35,60228
36,04278
36,40478
36,69956
37,23706
37,74663
38,16456
38,59609
38,86029
39,37043
39,90834
40,37929
40,76189
41,02644
41,5547
42,1062
42,51713
42,92064
43,17837
43,74687
44,32371
44,70625
45,09322
45,39418
45,93934
46,48296
46,77958
47,08337
47,52431
48,084
48,61971
48,92458
49,1868
49,41874
50,19486
50,81246
51,06055
51,36327
51,61855
52,19424
52,73975
53,26059
53,52274
53,79569
55,19516
55,47604
55,72374
56,01097
56,28988
56,78895
57,35445
57,5975
57,88234
58,16577
58,93396
59,5406
59,80259
60,02871
60,32542
60,83733
61,67737
62,32299
62,61005
62,88379
63,7621
64,23599
64,70055
65,32996
65,78716
66,17841
66,61537
67,01171
67,61935
68,12386
68,59458
68,86697
69,14597
69,42131
69,70144
70,13049
70,5792
71,01886
71,3625
71,89952
72,44213
72,94652
73,25116
73,53263
73,79757
74,09344
74,5472
74,94938
75,37004
75,74049
76,3307
76,81806
77,36212
77,88506
78,42863
78,90173
79,26003
79,68282
80,12263
80,63476
