0
2,726226
3,257824
3,705323
4,200974
4,713015
4,921274
5,153104
5,377172
5,594278
5,825556
5,945119
6,16917
6,425051
7,017066
7,481956
7,849182
8,178084
8,857758
9,336964
9,689761
10,28918
10,73701
11,18562
11,64969
12,16106
12,40926
12,64935
12,86483
13,0969
13,362
13,49811
13,72081
13,95326
14,52961
14,96087
15,35293
15,67314
15,9291
16,25809
16,73726
17,13001
17,36911
17,49755
17,72885
18,45661
18,72205
19,08155
19,39326
19,80947
19,9772
20,75282
20,99397
21,17796
21,4968
21,8981
22,24101
22,47411
22,85686
23,19352
24,56132
24,81672
24,96897
25,19257
25,74469
25,99388
26,24862
26,62547
26,95383
27,36096
27,52078
28,31382
28,5699
28,80065
29,25739
29,51314
29,75261
30,18455
30,40859
30,65789
31,16117
33,28129
33,69646
34,29748
34,8646
35,12902
35,36089
35,59243
35,81726
35,96092
36,95252
37,43244
37,92884
38,40047
38,81647
39,55274
39,80977
39,94463
40,20041
40,72064
41,20039
41,68119
42,14507
42,64948
43,09755
43,33754
43,65636
43,84841
44,04074
44,45622
44,98427
45,3447
45,64898
46,07307
47,04111
47,28857
47,44083
47,70496
48,22446
48,71255
49,17623
49,85695
50,11289
50,36009
50,60872
50,84131
51,00095
51,78491
52,04857
52,26445
52,49716
52,84901
53,35337
53,85599
54,35208
54,62405
54,85688
54,99268
55,23204
55,76813
56,23223
56,7054
57,16803
57,64059
58,15266
58,58522
59,01642
59,48085
59,7362
59,99255
60,37602
60,72859
60,94516
61,27191
62,06456
62,31219
62,43189
62,75197
63,22393
63,4962
63,72789
64,07196
64,39278
64,81604
64,97598
65,79203
66,07198
66,31306
66,54488
66,95316
67,25623
67,50391
67,90388
68,21628
69,53627
69,76814
69,92003
70,1761
70,74384
70,99242
71,2487
71,58495
71,9121
72,31894
72,45612
73,27206
73,53616
73,78457
74,20071
74,45625
74,67226
75,184
75,43354
75,6563
76,13711
77,03991
77,28838
77,4399
77,712
78,24924
78,49627
78,74545
79,12016
79,45711
79,8879
80,02424
80,83176
81,08781
81,32798
81,56781
81,96788
82,27249
82,52036
82,87189
83,21601
84,5518
84,81572
84,96104
85,21648
85,70411
85,96004
86,17616
86,57568
86,92767
87,36082
87,50381
88,313
88,55154
88,80775
89,21568
89,46378
89,6877
90,1519
90,41608
90,65688
91,13555
93,25594
93,72048
94,17628
94,63142
95,09558
95,56737
96,06381
96,53564
97,00793
97,47142
97,94466
98,40022
98,88756
99,36794
99,8407
100,3042
100,7682
101,2154
101,7119
102,1767
102,6238
103,1048
103,5528
104,0478
104,5119
104,9998
105,4556
105,8967
106,3759
106,8237
107,2954
107,7839
108,2722
108,7196
109,1922
109,6634
110,1525
110,6236
111,0956
111,5755
112,0075
112,4796
112,936
113,4156
113,8959
114,3682
114,8395
115,3115
116,2315
117,2083
118,1129
119,0874
119,5368
119,9767
120,472
120,9049
121,1356
121,3917
121,6074
121,8394
122,0879
122,3442
122,5755
122,8394
123,28
123,7675
124,2319
126,7841
126,9358
127,2319
129,5606
129,7914
129,9355
130,175
130,5602
130,695
130,9438
133,3593
133,5671
133,7436
133,9671
134,5191
134,9831
135,3597
135,7112
